PATENT_ID	PATENT_CODE
EP2822557A1	C07D 401/06
EP2838536A1	A61K 31/485
EP2847190A1	C07D 413/14
US20150005278A1	C07D 413/14
US20150056657A1	C07K 14/755
US20150045349A1	C07D 471/04
US20150046465A1	G16H 10/40
US20150065964A1	A61M 5/32
US20150086600A1	A61L 31/16
US8932595B2	NOT FOUND
US8962636B2	A61K 31/522
US8946189B2	A61K 31/70
US8945622B2	A61K 47/38
US8956640B2	A61K 31/74
US8956401B2	A61F 2/06
US8974514B2	A61F 2/06
WO2015038552A2	A61K 9/20
WO2015002888A1	A61L 27/52
EP2373356B1	A61L 27/48
EP2373632B1	C07D 249/12
EP1963386B1	C08F 297/00
EP2069326B1	C07D 401/06
EP2827884A1	A61K 38/17
EP2824106A1	C07D 487/06
EP2846801A1	A61K 31/4709
US20150011462A1	A61K 47/48
US20150050713A1	C12N 9/96
US8945619B2	A61K 9/22
US8957032B2	A61K 38/00
US8974809B2	A61F 2/00
US8980322B2	A61K 9/14
WO2015006219A1	A61K 9/20
EP2836207A1	A61K 9/48
EP2826791A2	C07K 16/28
US20150004102A1	A61K 9/51
EP2839281A1	G01N 33/68
US20150037375A1	A61L 31/14
US20150030757A1	A61L 31/10
US20150056279A1	A61K 9/28
US20150065685A1	A61K 41/00
US20150065717A1	C07D 211/60
US20150080433A1	C07F 3/02
US20150073535A1	A61L 31/14
US8962019B2	A61K 9/20
US8962064B2	A61K 9/28
US8993517B2	C12N 15/09
US8992601B2	A61F 2/06
US8987295B2	NOT FOUND
US8980946B2	A01N 43/20
WO2015018808A1	C07D 487/04
EP2291174B1	A61K 9/00
EP1753743B1	C07D 401/14
EP2822951A1	C07D 487/04
US20150005325A1	A61K 31/522
US20150005330A1	C07D 471/20
US20150025619A1	A61L 31/14
US20150072005A1	A61K 31/616
US20150086648A1	A61K 31/122
US8940712B2	C12N 15/85
US8940716B2	C07D 417/14
US8927582B2	NOT FOUND
US8933113B2	A61K 31/416
US8962675B1	A61K 31/519
US8945663B2	A61L 33/00
US8946270B2	A01N 43/40
US8987442B2	A61K 31/522
US8987242B2	A61K 31/535
US8987192B2	A61K 38/00
EP2382203B1	C07D 401/12
EP2836492A1	C07D 487/04
EP2822648A2	A61N 1/36
US20150004167A1	A61K 47/48
EP2838891A1	C07D 333/60
EP2847228A1	C07K 16/36
US20150005290A1	C12Q 1/68
US20150024116A1	B05D 1/06
US20150057220A1	C07F 9/6571
US20150056268A1	A61K 31/485
US20150086554A1	C07K 16/46
US8968706B2	A61K 49/00
US8946215B2	C07D 401/02
US8952166B2	C07D 471/10
WO2015026693A1	A61K 31/44
WO2015023680A1	A61K 38/13
EP2836233A1	A61K 47/02
EP2543667B1	C07D 413/14
US20150004177A1	C07K 16/28
US20150031637A1	C07K 5/062
US20150037585A1	C07F 1/00
US20150030608A1	C07K 16/24
US20150057695A1	A61B 17/12
US20150087585A1	C07D 471/04
US20150076469A1	NOT FOUND
US8933207B2	C07H 15/04
US8932615B2	A61K 47/00
US8962610B2	A61K 31/553
US8968717B2	A61J 3/07
US8962629B2	A61K 31/495
US8961973B2	A61K 39/395
US8987307B2	A61K 31/44
US8980891B2	A61K 31/5377
WO2015014634A1	A61K 31/4174
EP2018863B9	A61K 31/00
EP2849755A1	A61K 31/522
US20150005230A1	A61K 47/48
US20150087687A1	A61K 31/404
US20150080846A1	A61F 9/00
US8945206B2	A61F 2/06
US8952016B2	A61K 31/522
US8974522B2	A61F 2/82
WO2015036734A1	A61K 38/00
WO2015027015A1	C07D 413/06
EP1962871B1	A61K 35/28
EP2229919B1	A61F 2/82
EP2836590A2	A61K 31/437
EP2830624A1	A61K 47/12
US20150004215A1	A61K 31/4045
US20150037320A1	A61K 33/20
US20150037438A1	A61K 9/00
US20150005188A1	C12Q 1/68
US20150025042A1	C07C 327/56
US20150025090A1	A61K 31/519
US20150024039A1	A61K 9/00
US8936027B2	A61M 25/01
US8951965B2	A61K 38/26
US8952158B2	C07D 471/10
US8987261B2	NOT FOUND
US8980916B2	A61K 45/06
US8981104B2	NOT FOUND
WO2015006830A9	A61K 31/7076
WO2015006827A1	A61K 31/7076
WO2015028612A1	C12Q 1/68
WO2015023649A2	A61K 38/17
US20150025620A1	A61L 31/16
US20150025046A1	C07D 405/06
US20150011735A1	G01N 33/92
US20150011601A1	A01N 47/02
US20150051709A1	A61B 17/12
US20150045877A1	A61M 25/10
US20150045398A1	C07D 333/22
US20150066133A1	A61F 2/07
US20150065997A1	A61M 31/00
US20150080414A1	C07D 471/04
US8940713B2	A61K 31/375
US8927549B2	NOT FOUND
US8993619B2	NOT FOUND
WO2015006828A9	A61K 31/7076
WO2015018814A1	C07D 471/04
EP2308562B1	A61P 11/00
EP2142554B1	C07D 495/04
EP2262785B1	C07D 307/85
EP1879554B1	A61K 9/16
EP2836487A1	C07D 401/12
EP2649076B1	C07D 487/08
US20150010521A1	A61K 9/00
US20150038447A1	A61K 31/7076
US20150051160A1	C07K 5/09
US20150080474A1	A61K 31/137
US20150073031A1	C07D 405/04
US20150079184A1	A61K 9/16
US8936825B2	A61K 9/70
US8933015B2	A61K 38/00
US8946156B2	C12N 9/96
US8940742B2	A01N 43/58
US8969581B2	C07D 277/00
US8969377B2	A61K 31/18
US8980823B2	A61K 38/00
USRE45337E1	A61K 31/415
WO2015006531A1	A61K 8/89
WO2015026686A1	A61K 31/44
WO2015013168A1	C07K 14/47
WO2015017316A2	A61K 48/00
WO2015011087A1	C07D 215/227
EP2444033B1	A61F 2/915
EP2018371B1	C07D 231/12
EP2075250B1	C07D 405/06
EP2837391A1	A61K 9/14
US20150005279A1	C07D 487/04
US20150045427A1	C07D 303/22
US20150087669A1	A61K 31/485
US20150065533A1	C07D 471/04
US20150073536A1	A61F 2/86
US8993520B2	A61K 38/00
US8992988B2	A61K 9/14
WO2015031679A2	A61K 48/00
WO2015036563A1	C07D 239/56
WO2015028972A1	A61K 9/28
EP2376513B1	C07H 17/08
EP2473504B1	C07D 403/04
EP1981525B1	A61K 38/17
EP2819645A2	A61K 9/00
US20150064249A1	A61K 31/55
US20150056294A1	A61K 9/16
US20150087623A1	A61K 9/00
US8933222B2	NOT FOUND
US8927028B2	A61K 9/48
US8946233B2	A61K 31/427
US8961589B2	A61F 2/82
US8957070B2	C07D 409/12
US8992950B2	A61B 1/04
WO2015018503A1	C12N 15/861
EP2367540B1	A61K 9/20
EP1731505B1	A61K 31/40
EP2546253B1	C07D 401/14
EP2842501A1	A61B 17/12
EP2849754A1	A61K 31/522
US20150031604A1	C07K 7/64
US20150005356A1	A61K 31/137
US20150010491A1	A61K 47/48
US20150030594A1	C07K 7/08
US20150011597A1	C07C 237/20
US20150057745A1	A61L 31/14
US20150044289A1	A61K 31/4422
US20150065418A1	A61K 45/00
US20150065552A1	C07D 209/30
US20150086504A1	A61K 9/08
US8940711B2	A61K 39/395
US8962588B2	C12N 15/11
US8956685B2	A61K 9/70
US8952123B1	C08G 63/66
US8974817B2	A61K 9/70
US8980243B2	A61K 31/77
US8980888B2	A61K 31/5377
WO2015027206A1	A61K 31/52
WO2015031598A2	A61K 31/575
WO2015023770A1	A61K 9/14
WO2015026685A1	A61K 31/44
WO2015013165A1	C07K 14/47
WO2015013187A1	C07C 259/06
EP2635576B1	C07D 471/04
EP2819675A1	A61K 31/549
EP2846809A1	A61K 31/727
US20150064286A1	A61K 33/04
US20150079102A1	C07K 16/24
US20150079615A1	G01N 33/543
US8940683B2	A61K 9/12
US8927005B2	A61K 38/13
US8946174B2	A61K 48/00
US8944055B2	A61M 15/00
US8951557B2	A61K 9/58
US8993117B2	B32B 15/04
US8974519B2	A61F 2/07
US8969514B2	A61K 38/00
US8987256B2	NOT FOUND
US8980896B2	A01N 43/58
EP2413970B1	A61K 45/06
EP2480077B1	A01N 43/36
EP2500345B1	C07D 451/02
EP2609427B1	G01N 33/68
EP2829280A1	A61K 38/22
EP2825188A1	A61K 38/10
EP2843056A1	C12Q 1/68
US20150087640A1	C07D 498/04
US8968377B2	A61F 7/00
US8957017B2	A61K 38/00
US8952185B2	C07D 307/86
US8993588B2	A61K 31/44
US8993752B2	C07D 413/02
WO2015010045A1	A61K 38/00
WO2015021954A1	A61M 35/00
WO2015017305A1	C07D 498/12
EP1937065B1	C07C 323/20
EP2821407A1	C07D 471/10
EP2850073A1	C07D 401/14
US20150030758A1	A61L 31/08
US20150050345A1	A61K 31/496
US20150072022A1	G01N 33/68
US20150086540A1	C07K 16/30
US20150079097A1	C07K 16/18
US8962000B2	A61K 9/00
US8969317B2	C12N 15/11
US8980929B2	A01N 43/78
WO2015036560A1	C07D 239/36
WO2015038704A1	A61K 45/06
WO2015006831A1	A61K 31/167
WO2015006831A9	A61K 31/167
WO2015003025A1	A61K 31/155
WO2015005489A1	C07D 401/04
WO2015017302A2	A61K 31/4439
EP2532372B1	A61L 31/00
EP2822538A1	A61K 9/16
EP2841579A1	C12N 15/113
EP2846824A1	A61K 38/00
US20150031130A1	C12N 5/071
US20150037417A1	A61K 9/20
US20150051159A1	C12N 1/20
US20150045764A1	A61K 9/00
US20150088111A1	A61B 18/14
US8936815B2	A61H 39/06
US8956639B2	A61F 13/00
US8951242B2	A61M 37/00
US8993627B2	A01N 37/12
US8969403B2	A01N 37/34
US8969538B2	C07H 21/04
US8986724B2	A61L 24/04
US8980300B2	A61F 2/00
EP2013204B1	C07D 413/14
EP1944322B1	C07K 16/24
EP2841432A1	C07D 413/12
EP2846799A1	C07D 471/04
EP2846800A1	A61K 31/4709
EP2848621A1	C07D 491/048
US20150038415A1	B29C 41/00
US20150038498A1	C07D 295/18
US20150056202A1	C07K 16/46
US20150045344A1	C07D 487/04
US20150045378A1	C07D 213/64
US20150080934A1	A61B 17/12
US20150080465A1	NOT FOUND
US8927018B2	A61K 9/08
US8986341B2	NOT FOUND
US8980894B2	A61K 31/50
WO2015035205A1	A61B 5/05
WO2015013083A1	A61P 9/10
EP2326313B1	A61K 9/50
WO2015042269A1	A61P 9/04
EP2838542A2	A61K 31/7105
EP2844250A1	A61K 31/416
EP2844673A1	C07K 16/18
EP2844733A1	C12M 1/34
US20150011595A1	C07D 263/20
US20150051689A1	A61L 31/14
US8933056B2	A61K 31/69
US8927497B2	A61P 25/08
US8987459B2	C07D 413/00
US8986726B2	A61F 2/00
US8980889B2	C07D 498/02
EP2427567B1	C12Q 1/04
EP2857005A1	A61K 9/00
US20150105316A1	C07K 7/06
US20150105318A1	A61K 31/522
US20150105320A1	A61K 38/17
US20150105374A1	A61K 31/519
US20150105385A1	C07D 487/04
US20150105392A1	C07D 409/10
US20150105415A1	C07D 471/14
US9005602B2	A01N 63/00
US9005608B2	A61K 38/43
US9005626B2	A61K 31/7048
US9005649B2	A61F 2/00
US9005746B2	A61L 27/34
US9005904B2	G01N 33/53
EP2857400A1	C07D 471/04
US20150105610A1	A61B 17/43
US20150105751A1	A61M 5/14
US9006171B2	C07K 5/083
US9006178B2	A61K 38/26
US9006228B2	C07D 417/14
US9006249B2	NOT FOUND
US9006281B2	NOT FOUND
EP2477983B1	C07D 409/14
EP2858630A1	A61K 9/51
EP2858650A1	A61K 45/06
US9006403B2	C07H 15/203
US9006408B2	NOT FOUND
US9006431B2	NOT FOUND
US9006454B2	C07D 235/18
EP1874351B1	C12N 5/10
EP2506865B1	A61K 38/10
EP2507210B1	C07D 207/06
EP2858987A1	A61K 31/675
EP2859009A1	C07K 5/062
EP2859343A1	G01N 33/50
EP2556069B1	C07D 401/14
EP2132206B1	C07D 471/04
EP2607395B1	C08F 293/00
EP2245029B1	C07D 417/04
EP2265602B1	C07D 401/14
EP2649062B1	C07D 401/04
EP2852383A2	NOT FOUND
US8998847B2	A61M 31/00
US8998881B2	A61M 31/00
US8998977B2	A61F 2/06
EP2282645B1	A23G 4/06
EP2302395B1	G01N 33/74
EP2852573A1	C07D 211/06
EP2852590A1	C07D 413/12
US8999292B2	A61K 31/416
US8999331B2	A61K 39/00
US8999362B2	A01N 25/12
US8999388B2	A61K 9/22
US8999456B2	C23C 14/08
EP2327765B1	G01N 33/68
EP2335647B1	A61F 2/06
US8999674B2	C12P 19/34
US8999990B2	A61K 31/495
US8999991B2	A61K 31/495
EP2681194B1	C07D 213/75
EP2854761A1	A61K 9/00
EP2854764A1	A61K 9/00
EP2854772A1	A61K 9/16
EP2854787A2	A61K 31/12
EP2854789A1	NOT FOUND
EP2854812A1	A61K 31/522
EP2854848A1	A61K 39/395
US9000025B2	C07D 209/08
US9000035B2	A01N 43/20
US9000147B2	C07H 19/04
US9000175B2	C07D 401/14
US9000187B2	C07D 235/10
US9000191B2	NOT FOUND
EP2855458A1	C07D 403/12
EP2855464A1	C07D 413/12
US20150104381A1	A61K 51/08
EP2855486A1	C07D 495/10
US20150104452A1	C07K 16/46
US20150104513A1	A61K 9/20
US9004752B2	G01N 25/14
US9005108B2	NOT FOUND
US9005161B2	A61M 31/00
US9005185B2	A61K 9/22
US9005276B2	A61F 2/86
US9005308B2	A61F 2/02
WO2015054045A1	C12Q 1/68
WO2015054087A1	A61K 31/397
WO2015054088A1	A61K 31/404
WO2015054333A1	A61K 31/27
WO2015054383A1	A61P 9/10
WO2015054579A1	C12N 15/11
US20150098931A1	A61K 45/06
US20150098977A1	A61L 31/10
US20150098992A1	A61K 9/48
US20150098993A1	A61K 31/506
US20150099001A1	A61K 9/51
US20150099270A1	G01N 33/50
US20150099298A1	C07K 16/36
US20150099706A1	A61K 38/17
US20150099729A1	C07D 498/20
US20150099769A1	C07D 487/04
US20150099771A1	C07D 471/20
US20150099777A1	C07D 471/04
US20150099782A1	C07D 401/14
US20150099803A1	A61K 31/336
US20150100133A1	A61F 2/18
US20150101529A1	B05B 13/02
WO2015044163A1	C07D 209/42
WO2015044165A1	C07D 401/14
WO2015044167A1	C07D 257/04
WO2015044169A1	C07D 403/12
WO2015044170A1	C07D 403/12
WO2015044172A1	C07D 401/12
WO2015044173A1	C07D 413/12
WO2015044174A1	C07D 403/12
WO2015047973A1	C07K 14/745
WO2015048317A1	A61K 35/32
WO2015048344A2	A61L 27/00
WO2015049329A1	A61K 9/00
WO2015049546A1	A61K 47/48
WO2015050570A1	A61K 9/26
US20150093337A1	A61L 31/18
US20150093387A1	A61K 39/395
WO2015051067A1	A61K 31/69
WO2015051241A1	C07D 403/12
WO2015051244A1	C07D 403/12
WO2015051328A1	A61K 48/00
WO2015051496A1	C07D 221/16
WO2015051725A1	C07D 221/16
WO2015052065A1	C07D 495/04
WO2015052610A1	C07D 401/14
WO2015052910A1	C07D 471/04
WO2015053379A1	A61K 31/232
WO2015053450A1	C12N 15/29
US20150094274A1	A61K 31/4045
US20150094296A1	C07D 403/04
US20150094308A1	C07D 471/04
US20150094331A1	C07D 401/12
US20150094372A1	C07C 57/58
EP2283004B1	C07D 333/38
EP2288373B1	A61K 38/22
EP2289560B1	A61K 47/48
EP2295460B1	G01N 33/53
EP2295464B1	G01N 33/53
EP2296620B1	A61K 49/22
US20150157737A1	A61K 47/48
US20150157771A1	A61L 31/14
US20150157832A1	A61M 25/10
US20150174256A1	A61K 47/42
US20150174263A1	A61K 47/48
US20150174299A1	A61L 31/10
US20150174300A1	A61L 31/10
US20150174303A1	A61L 31/16
US20150110886A1	A61K 31/78
US20150126574A1	C07D 405/04
US20150126968A1	A61M 31/00
US9014799B2	A61N 1/30
US9014817B2	H01R 13/60
US9034358B2	A61L 27/36
US9034370B2	A61K 31/567
US9034381B2	A61K 9/14
EP2318036B1	A61K 38/43
EP2327767B1	G01N 33/68
EP2342175B1	C07C 229/08
US20150158819A1	C07D 231/14
US20150175560A1	C07D 261/20
US20150175595A1	C07D 417/06
US20150175597A1	C07D 417/14
US20150175599A1	C07D 471/04
US20150175609A1	C07D 487/04
US20150175641A1	C07F 9/6512
US20150175645A1	C07H 19/048
US20150175654A1	C07K 5/068
US20150175690A1	C07K 16/24
US20150111251A1	C07K 16/24
US20150127082A1	A61L 31/14
US9016221B2	B63B 59/04
US9017310B2	A61K 9/22
US9034576B2	C12Q 1/68
US9034585B2	NOT FOUND
US9034830B2	A61P 27/02
US9034852B2	C07D 277/34
US9034855B2	C07D 249/12
US9034883B2	A61K 31/52
US9034907B2	C07D 495/04
EP2376484B1	C07D 413/04
EP2404605B1	A61K 31/549
US20150175976A1	C12N 7/00
US20150111829A1	A61K 38/39
US20150111840A1	A61K 31/7032
US20150111866A1	C07D 417/14
US20150111874A1	C07D 487/04
US20150111882A1	C07D 513/10
US20150111894A1	C07D 491/048
US20150111914A1	C07D 471/10
US20150111963A1	C07D 407/04
US9060930B2	A61K 9/00
US9060936B2	A61K 9/14
US9061005B2	A61K 39/395
US9061030B2	A61K 31/506
US9061060B2	A01N 43/16
US9061067B2	A61K 31/41
US9061091B2	A61L 33/00
US9017661B2	A61K 48/00
US9035027B2	A61K 39/395
US9035050B2	C07D 473/04
US20150177259A1	G01N 33/68
US20150112062A1	C07D 473/06
US20150112422A1	A61F 2/90
US20150112424A1	A61L 31/10
US20150112425A1	A61L 31/10
US9062028B2	C07D 401/04
US9062070B2	C07D 498/04
US9062092B2	A61K 38/21
US9062093B2	A61K 38/06
US9017949B2	G01N 33/566
US9018161B2	A61K 38/28
US9018211B2	C07D 487/08
US9018249B2	A61K 31/352
US9018258B2	A61K 31/196
EP2473053B1	C07D 473/04
US20150132327A1	A61K 31/437
US20150132376A1	A61K 9/48
US20150132385A1	A61K 31/415
US20150132409A1	A61K 31/7048
US9044312B2	A61F 2/82
US9044385B2	A61K 9/00
US9062337B2	C07K 16/00
US9018374B2	C07D 413/14
US9018414B2	C07C 205/00
US9039748B2	A61F 2/06
US9040016B2	A61K 51/00
US9040022B2	A61K 49/04
US9040050B2	A61K 39/395
EP2516462B1	A61K 47/48
US20150164064A1	A01N 1/02
US20150164065A1	A01N 1/02
US9044453B2	A61K 31/365
US9044511B2	A23L 1/305
US9045436B2	A61K 31/535
US9040085B2	A61K 9/28
US9040483B2	A61P 7/02
EP2523951B1	C07D 409/12
EP2526096B1	C07D 401/06
EP2527338B1	C07D 401/12
EP2545047B9	C07D 403/04
EP2549875B1	A61K 31/505
US20150164619A1	A61C 8/00
US20150164742A1	A61J 1/03
US20150164801A1	A61K 9/14
US20150164802A1	A61K 9/14
US20150164812A1	A61K 9/20
US20150164826A1	A61K 31/131
US20150164830A1	A61K 31/16
US20150164861A1	A61K 31/404
US20150164864A1	A61K 31/42
US20150164865A1	A61K 31/422
US20150133364A1	A61K 47/48
US20150133374A1	C07K 14/605
US20150133414A1	C12Q 1/68
US20150133448A1	A61K 31/5377
US20150133451A1	C07D 413/14
US20150133479A1	C07D 401/14
US20150133506A1	A01N 43/56
US20150133518A1	C07D 233/70
US20150133521A1	C12N 15/113
US9045443B2	C07D 261/18
US9045554B2	C07K 14/47
US9066662B2	A61N 1/365
US9066779B2	A61K 39/395
US9066870B2	A61K 9/16
US9066916B2	A61K 38/22
US9023074B2	A61M 29/00
US9023334B2	A61K 31/74
US9023355B2	A61K 39/395
US9023371B2	A61K 9/00
US9023398B2	A61K 9/14
US9040577B2	A01N 37/34
US9040578B2	A01N 37/34
US9040683B2	C08B 15/04
US9040684B2	C08B 15/04
US9040685B2	C08B 3/16
EP2563765B1	C07D 231/54
EP2563780B1	C07D 409/14
EP2576548B1	C07D 471/04
EP2588475B1	C07D 409/14
US20150164981A1	A61K 38/10
US20150118164A1	A61K 9/12
US20150118221A1	A61K 31/5375
US20150118232A1	A61K 39/395
US20150118352A1	A23G 4/02
US20150133658A1	C07D 471/04
US20150134047A1	A61L 31/16
US20150134048A1	A61L 31/06
US9046493B2	NOT FOUND
US9046513B2	NOT FOUND
US9066992B2	A61L 27/18
US9067000B2	A61K 31/765
US9067001B2	A61L 31/10
US9067002B2	A61F 2/00
US9067905B2	C07D 307/54
US9067913B2	A61K 31/336
US9067933B2	C07D 471/04
US9067941B2	C07D 471/20
US9067969B2	A61K 38/05
US9067971B2	C07K 7/08
US9067977B2	C07K 1/107
US9023789B2	C07K 14/47
US9023818B2	A01N 43/04
US9023849B2	A61K 31/5365
US9023858B2	A61K 31/519
US9023893B2	A61K 45/00
US9023894B2	A61K 45/00
EP1528894B1	A61B 17/58
EP2597967B1	A23L 1/00
EP2600876B1	A61K 31/74
EP2619188B1	C07D 249/12
US20150166448A1	C07C 49/717
US20150166469A1	C07C 235/78
US20150166485A1	C07D 235/10
US20150166490A1	C07D 263/44
US20150166522A1	C07D 413/12
US20150166536A1	C07D 471/04
US20150166563A1	C07D 493/08
US20150118679A1	C12Q 1/68
US9068011B2	C07K 16/30
US9068013B2	NOT FOUND
US9068021B2	C08B 11/08
US9024014B2	A61L 27/00
EP1691746B1	A61F 13/00
EP2632464B1	A61K 31/496
EP2649045B1	C07C 231/02
US20150166604A1	C07K 7/06
US20150119346A1	C07H 15/04
US20150119407A1	C07D 473/10
US20150119412A1	C07D 401/12
US20150119443A1	C12N 15/113
US20150119456A1	NOT FOUND
US20150119571A1	C07F 9/653
US9050092B2	A61F 2/02
US9050253B2	A61K 9/12
US9050258B2	A61K 9/28
US9050264B2	A61K 31/075
US9050279B2	A61K 39/385
US9050293B2	A61K 31/164
US9050345B2	C07D 487/04
US9050370B2	A61K 38/28
US9050393B2	A61F 2/00
US9050414B2	B01F 13/08
US9050452B2	A61N 1/04
US9050477B2	A61K 31/704
EP1791495B1	A61F 2/95
EP1794116B1	C07C 323/10
EP1796651B1	A61K 9/70
EP1831310B1	C08L 77/12
